South Bounding, West Bounding, North Bounding, East Bounding
-2.38275,11.35217,-0.51899,13.3931
-2.38061,14.44566,-0.51685,16.48678
-3.82975,14.13593,-1.96632,16.17962
-0.93378,10.12891,0.92995,12.16888
-2.38299,9.82008,-0.51972,11.86127
-3.82856,9.51095,-1.96462,11.55525
-5.27324,9.20104,-3.40944,11.24869
1.95533,13.82804,3.81933,15.87022
0.51055,13.52099,2.3737,15.5618
-0.93495,13.2138,0.92878,15.25414
-2.38404,12.90522,-0.52095,14.94655
1.95618,9.17953,3.82008,11.22184
-5.27706,10.72302,-3.41289,12.77154
-2.38284,14.42984,-0.51983,16.47127
-3.82718,9.48152,-1.96394,11.52581
-5.27673,9.17059,-3.41264,11.21893
1.95751,13.8036,3.82078,15.84603
0.50858,8.87982,2.37225,10.9211
-2.38157,8.26376,-0.51761,10.30609
-0.93461,11.66215,0.92934,13.7037
-2.38378,11.35291,-0.52,13.3952
-2.38297,14.43998,-0.5193,16.48242
-3.82833,14.1302,-1.96382,16.17561
-5.27266,13.81973,-3.40871,15.86885
0.50953,10.41572,2.37356,12.45704
-3.82974,9.4894,-1.96548,11.53436
-0.93682,13.19724,0.92708,15.23809
-2.38175,12.88887,-0.51799,14.9312
1.95537,9.17852,3.81926,11.22164
0.51008,8.87115,2.37413,10.91255
-0.93479,8.56421,0.92897,10.60474
-2.38407,8.25447,-0.52041,10.29706
-0.93472,11.65564,0.92893,13.69669
-2.38434,11.34642,-0.52023,13.38867
-2.38183,14.44,-0.51835,16.48226
-3.82701,14.13022,-1.96285,16.17552
-5.27607,13.81909,-3.41192,15.86752
1.95785,10.73881,3.82174,12.78149
-0.93474,13.21621,0.92939,15.25733
-2.38339,12.90684,-0.52023,14.94934
-3.82879,12.59788,-1.96444,14.64293
1.95536,9.18837,3.81909,11.2316
0.50988,8.88104,2.37414,10.92277
0.50852,11.96891,2.37202,14.01038
-5.27533,10.73281,-3.41145,12.78173
-2.38395,14.44321,-0.51989,16.48524
-3.8286,14.13334,-1.96482,16.17878
-5.2736,13.82344,-3.40945,15.87195
-0.93672,10.11913,0.92662,12.16011
-2.38215,9.81085,-0.51811,11.85304
1.95621,9.19841,3.81981,11.24133
-2.38269,11.36126,-0.51865,13.40306
-5.27668,10.74018,-3.41238,12.78942
-2.38078,14.44843,-0.51687,16.49055
-3.82995,14.13824,-1.96623,16.18313
-5.2751,13.82809,-3.41072,15.87666
1.95844,10.73297,3.82245,12.77509
0.50941,10.42452,2.37301,12.46592
-0.93598,10.11725,0.92781,12.1579
-0.9359,13.20706,0.92799,15.24769
-2.38078,12.89872,-0.51728,14.94084
-3.8302,12.58905,-1.96636,14.63324
1.95498,9.18968,3.8189,11.23214
0.50992,8.88262,2.3736,10.92345
-0.93541,8.5749,0.92845,10.61576
-2.38013,8.26689,-0.51691,10.30859
-0.93784,11.66756,0.92561,13.70862
-2.38297,11.35935,-0.51942,13.40115
-3.82815,11.05075,-1.96422,13.09459
-2.38112,14.45492,-0.51748,16.49652
-3.83067,14.14507,-1.96657,16.1891
-5.2752,13.83459,-3.41148,15.8828
1.95471,10.73772,3.81811,12.78026
-2.38088,9.81509,-0.51721,11.85721
1.95433,13.82741,3.81829,15.86928
0.50917,13.51972,2.37315,15.5611
