South Bounding, West Bounding, North Bounding, East Bounding
-5.285,12.2502,-3.4005,14.3016
0.4998,8.8469,2.3843,10.8917
-0.9425,8.5409,0.9415,10.5859
-2.3895,8.2337,-0.505,10.2794
-3.836,7.9249,-1.9519,9.9738
-0.9441,11.6221,0.9402,13.6665
-2.3909,11.3144,-0.5066,13.3603
-3.8375,11.0059,-1.9534,13.0546
1.9466,13.7523,3.8311,15.7992
-0.9427,13.1402,0.9415,15.1848
-2.3894,12.8326,-0.5055,14.8791
-3.8364,12.5248,-1.9519,14.5729
-5.2827,10.6586,-3.3982,12.7115
-3.8388,14.0562,-1.9547,16.1051
-5.2815,13.748,-3.3966,15.8005
-5.2844,12.2041,-3.3997,14.2566
1.9491,9.1121,3.8338,11.1585
0.5022,8.8056,2.3866,10.8504
-0.9451,8.4989,0.9393,10.5438
-2.3921,8.1918,-0.5076,10.2372
-3.8388,7.8827,-1.9546,9.9317
-0.9448,13.161,0.9394,15.2046
-2.3924,12.8532,-0.5075,14.8986
-3.8349,12.5458,-1.9504,14.5934
-5.2822,12.236,-3.3971,14.2882
0.5016,8.84,2.3864,10.8843
-0.9445,11.6185,0.9401,13.6627
-2.3917,11.3116,-0.5071,13.3564
-5.283,13.7814,-3.3984,15.8333
-3.8367,12.5396,-1.9515,14.5866
0.4995,11.9238,2.384,13.9675
-0.9439,11.6181,0.9408,13.6615
-2.3915,11.3102,-0.5066,13.355
-5.2822,10.6934,-3.3969,12.7445
-2.3911,14.4034,-0.5062,16.4481
-3.8382,14.0942,-1.9537,16.1423
-3.8362,9.4455,-1.9516,11.4929
-5.284,9.1359,-3.3986,11.1871
-3.8367,12.533,-1.9516,14.5796
-5.2838,12.2234,-3.399,14.2745
0.5008,8.824,2.3855,10.8675
-0.944,11.609,0.9411,13.6525
-2.3912,11.3015,-0.5068,13.3468
-2.3924,12.8209,-0.5076,14.8653
-3.8356,12.5132,-1.9507,14.5606
1.9467,13.7597,3.8331,15.8085
1.9457,9.1133,3.832,11.1618
0.5028,8.8068,2.3891,10.8535
-0.9443,8.4985,0.9416,10.5455
-2.3919,8.1898,-0.5055,10.2376
1.9491,12.2063,3.8352,14.2544
0.5014,11.8984,2.3879,13.9454
-2.3925,14.3803,-0.5062,16.4284
-0.946,11.5998,0.9407,13.6455
-2.389,11.2922,-0.5027,13.3389
-2.3931,14.3777,-0.5069,16.4246
-3.8364,14.0686,-1.9499,16.1188
1.9474,13.7537,3.8342,15.8011
0.5,13.4458,2.3862,15.4918
-0.9436,13.1385,0.943,15.184
-0.9453,8.5045,0.9412,10.55
-2.3929,8.1959,-0.5065,10.2424
-5.284,10.6643,-3.397,12.7176
-2.3877,14.3735,-0.5063,16.4188
-3.8357,14.0634,-1.9536,16.1117
1.9473,13.7723,3.8341,15.8196
0.4996,13.4648,2.3862,15.5102
-0.9436,13.1575,0.9426,15.2026
-2.3917,12.8487,-0.5049,14.895
-3.8389,12.5389,-1.9527,14.5879
1.9478,9.1465,3.8346,11.1947
0.5009,11.9176,2.3873,13.9636
-0.9471,11.6093,0.9397,13.6554
-2.3901,11.3014,-0.5038,13.3484
-2.3901,14.3839,-0.5036,16.431
-3.8379,14.0742,-1.9512,16.1238
-5.2851,13.7632,-3.3984,15.8168
-2.3908,9.7452,-0.5042,11.7919
1.9478,13.763,3.8348,15.8104
-0.9477,13.1472,0.9388,15.1926
-2.3911,12.8393,-0.5045,14.8859
1.9469,9.1253,3.8336,11.1729
0.4991,8.8176,2.3858,10.8634
-0.9442,8.5102,0.9422,10.556
-0.9432,11.6025,0.9433,13.6477
1.9495,10.7125,3.8361,12.759
0.5011,10.4042,2.3882,12.4498
1.947,13.795,3.8342,15.8434
0.4995,13.4873,2.3859,15.5335
-0.9441,13.1801,0.9425,15.2263
-2.3918,12.8716,-0.5052,14.9185
-2.3896,8.2108,-0.5033,10.258
-3.8378,7.9012,-1.9506,9.9507
1.9484,12.2194,3.8352,14.2671
-3.8389,10.9859,-1.9521,13.0355
-5.2862,10.6748,-3.3995,12.7285
